"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 11 13:05:37 IST 2026","Fri Sep 11 13:05:51 IST 2026","13940","Suite","M2006C3MII","com.intelehealth.tests.AppointmentsTest","com.intelehealth.tests.AppointmentsTest","IDA4_2385_verifycancelAppointmentSaveButton","Verify user can cancel the appointment by clicking save",""
"passed","Fri Sep 11 14:26:11 IST 2026","Fri Sep 11 14:27:56 IST 2026","104790","Suite","M2006C3MII","com.intelehealth.tests.PrescriptionsTest","com.intelehealth.tests.PrescriptionsTest","IDA4_2090_verifyThatUserCanSendWhatsappMessageToThePatient","Verify that user can send whatsapp message to the patient",""
"passed","Fri Sep 11 14:30:36 IST 2026","Fri Sep 11 14:31:07 IST 2026","31525","Suite","M2006C3MII","com.intelehealth.tests.PrescriptionsTest","com.intelehealth.tests.PrescriptionsTest","IDA4_2094_verifythatUserCanNavigateToPrescriptionPage","Verify that user can navigate to prescription page",""
"passed","Fri Sep 11 15:54:44 IST 2026","Fri Sep 11 15:54:51 IST 2026","6413","Suite","M2006C3MII","com.intelehealth.tests.FollowupVisitsTest","com.intelehealth.tests.FollowupVisitsTest","testGetFollowUpVisitLabels","Verify Follow Up Visit title is displayed",""
"broken","Thu Sep 10 17:09:00 IST 2026","Thu Sep 10 17:09:18 IST 2026","17379","Suite","M2006C3MII","com.intelehealth.tests.StartVisit3And4StepsTest","com.intelehealth.tests.StartVisit3And4StepsTest","IDA4_2637_verifySelectedDateAppearsOnPatientHistoryScreen","Verify whether the selected date appears correctly on Patient history screen",""
"passed","Fri Sep 11 12:59:35 IST 2026","Fri Sep 11 12:59:42 IST 2026","7425","Suite","M2006C3MII","com.intelehealth.tests.AppointmentsTest","com.intelehealth.tests.AppointmentsTest","IDA4_2380_verifyCancelAppointment","Verify the No button functionality in cancel appointment popup",""
"failed","Fri Sep 11 13:49:48 IST 2026","Fri Sep 11 13:50:47 IST 2026","58280","Suite","M2006C3MII","com.intelehealth.tests.DashboardModuleTest","com.intelehealth.tests.DashboardModuleTest","IDA4_2509_verifyThatSyncIconFunctionality","Verify that sync icon functionality",""
"skipped","Fri Sep 11 17:06:41 IST 2026","Fri Sep 11 17:06:42 IST 2026","947","Suite","M2006C3MII","com.intelehealth.tests.StartVisit1And2StepsTest","com.intelehealth.tests.StartVisit1And2StepsTest","IDA4_2503_verifyEightOfTwelveQuestionsDescribeTextBoxIsDisplayed","Verify clicking on Others [Describe] section in 8 of 12",""
"passed","Fri Sep 11 13:31:48 IST 2026","Fri Sep 11 13:33:36 IST 2026","107794","Suite","M2006C3MII","com.intelehealth.tests.AppointmentsTest","com.intelehealth.tests.AppointmentsTest","testAppointmentFilter","Verify the appointment filters in Past section",""
"passed","Fri Sep 11 14:03:30 IST 2026","Fri Sep 11 14:03:44 IST 2026","13423","Suite","M2006C3MII","com.intelehealth.tests.DashboardModuleTest","com.intelehealth.tests.DashboardModuleTest","IDA4_2070_verifyThatFollowUpVisitsSectionDisplayTheNumberOfFollowUpVisits","Verify that Follow up visits section display the number of follow up visits",""
